suburb,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Roxburgh Park,165.5,172.0,178.33333333333334,184.0,192.5,197.75,205.0,220.0,255.0,290.0,302.5,313.0,313.0,310.25,320.0,326.75,332.5,346.25,364.75,370.0,370.0,368.5
Brunswick,180.0,190.0,200.0,207.8,216.25,230.0,240.0,265.75,293.75,327.5,352.5,377.5,393.75,400.0,400.0,407.5,422.5,442.5,456.25,472.5,472.5,426.5
Coburg,180.0,191.5,201.33333333333334,204.8,220.0,225.0,235.0,263.75,307.5,340.0,351.25,360.0,370.0,378.75,381.25,393.75,400.0,419.5,441.25,450.0,452.5,451.25
Pascoe Vale South,180.0,191.5,201.33333333333334,204.8,220.0,225.0,235.0,263.75,307.5,340.0,351.25,360.0,370.0,378.75,381.25,393.75,400.0,419.5,441.25,450.0,452.5,451.25
Craigieburn,178.75,185.0,190.0,198.0,201.5,211.25,220.0,238.75,268.75,302.5,317.5,330.0,328.75,320.0,330.0,332.5,343.75,352.5,372.5,385.0,390.0,390.0
Brunswick East,210.0,237.5,250.0,254.6,262.5,267.5,279.5,296.0,335.0,360.0,382.5,407.5,425.0,412.5,387.5,400.5,416.0,425.75,435.0,454.5,446.25,407.5
Essendon,176.25,184.0,193.33333333333334,200.0,202.5,212.5,222.5,245.0,283.75,305.75,325.0,336.25,350.0,350.0,350.0,357.0,370.0,387.5,400.0,411.25,413.75,398.75
Gladstone Park,176.25,181.25,190.0,197.0,200.0,200.0,206.25,222.5,251.25,280.0,300.0,312.75,322.5,320.0,330.0,335.0,344.25,360.0,377.5,386.25,391.25,392.5
Tullamarine,176.25,181.25,190.0,197.0,200.0,200.0,206.25,222.5,251.25,280.0,300.0,312.75,322.5,320.0,330.0,335.0,344.25,360.0,377.5,386.25,391.25,392.5
Keilor,219.0,220.0,221.66666666666666,228.6,227.25,231.25,240.0,257.5,289.0,327.5,350.0,345.0,355.0,369.5,372.5,377.0,402.0,406.25,435.0,435.0,412.5,423.25
Moonee Ponds,188.75,205.0,220.0,220.0,231.25,237.0,255.0,280.0,315.0,347.0,355.0,376.25,388.75,386.25,385.0,392.5,400.0,417.5,437.5,445.0,431.25,405.5
Ascot Vale,188.75,205.0,220.0,220.0,231.25,237.0,255.0,280.0,315.0,347.0,355.0,376.25,388.75,386.25,385.0,392.5,400.0,417.5,437.5,445.0,431.25,405.5
Oak Park,161.25,168.75,175.0,180.0,185.0,191.25,200.75,225.0,265.0,298.75,312.5,327.5,327.25,322.5,332.5,343.75,350.0,365.0,382.5,395.0,400.0,387.5
Glenroy,161.25,168.75,175.0,180.0,185.0,191.25,200.75,225.0,265.0,298.75,312.5,327.5,327.25,322.5,332.5,343.75,350.0,365.0,382.5,395.0,400.0,387.5
Fawkner,161.25,168.75,175.0,180.0,185.0,191.25,200.75,225.0,265.0,298.75,312.5,327.5,327.25,322.5,332.5,343.75,350.0,365.0,382.5,395.0,400.0,387.5
Pascoe Vale,171.25,181.25,190.0,194.0,200.0,205.0,221.25,255.0,291.0,315.0,325.0,340.0,346.25,340.0,350.0,355.0,368.75,393.75,402.5,417.5,420.0,410.0
Coburg North,171.25,181.25,190.0,194.0,200.0,205.0,221.25,255.0,291.0,315.0,325.0,340.0,346.25,340.0,350.0,355.0,368.75,393.75,402.5,417.5,420.0,410.0
Sunbury,166.25,173.75,185.0,195.0,200.0,201.25,208.75,222.5,245.0,266.25,287.5,303.75,310.0,316.25,320.0,327.5,331.25,345.0,363.25,376.25,373.75,385.0
Brunswick West,143.75,157.5,170.0,178.0,185.0,186.25,200.0,220.75,256.25,280.0,290.0,300.0,322.25,324.25,326.25,331.25,345.0,352.5,367.5,385.0,393.75,360.0
Bundoora,186.25,196.25,208.33333333333334,216.0,222.5,230.0,241.25,257.5,290.0,317.5,332.0,347.5,348.5,340.0,348.75,353.75,360.0,373.75,390.0,400.0,400.0,407.5
Greensborough,186.25,196.25,208.33333333333334,216.0,222.5,230.0,241.25,257.5,290.0,317.5,332.0,347.5,348.5,340.0,348.75,353.75,360.0,373.75,390.0,400.0,400.0,407.5
Hurstbridge,186.25,196.25,208.33333333333334,216.0,222.5,230.0,241.25,257.5,290.0,317.5,332.0,347.5,348.5,340.0,348.75,353.75,360.0,373.75,390.0,400.0,400.0,407.5
Eltham,198.75,211.25,225.0,231.6,237.75,246.25,256.5,281.25,310.0,342.5,346.25,361.25,363.75,365.0,378.75,397.5,402.5,420.0,444.5,450.0,456.25,465.75
Research,198.75,211.25,225.0,231.6,237.75,246.25,256.5,281.25,310.0,342.5,346.25,361.25,363.75,365.0,378.75,397.5,402.5,420.0,444.5,450.0,456.25,465.75
Montmorency,198.75,211.25,225.0,231.6,237.75,246.25,256.5,281.25,310.0,342.5,346.25,361.25,363.75,365.0,378.75,397.5,402.5,420.0,444.5,450.0,456.25,465.75
Fairfield,150.25,165.0,178.33333333333334,191.0,193.75,200.0,205.0,239.5,270.0,287.5,312.5,322.5,328.75,342.5,348.75,345.0,367.5,382.5,405.0,443.75,435.0,398.75
Alphington,150.25,165.0,178.33333333333334,191.0,193.75,200.0,205.0,239.5,270.0,287.5,312.5,322.5,328.75,342.5,348.75,345.0,367.5,382.5,405.0,443.75,435.0,398.75
Heidelberg,181.25,193.75,203.33333333333334,211.0,220.0,223.75,236.25,256.5,290.0,312.5,328.75,341.25,348.75,350.0,360.0,360.0,372.5,393.25,411.25,420.0,421.25,417.5
Heidelberg West,181.25,193.75,203.33333333333334,211.0,220.0,223.75,236.25,256.5,290.0,312.5,328.75,341.25,348.75,350.0,360.0,360.0,372.5,393.25,411.25,420.0,421.25,417.5
Ivanhoe,190.0,208.75,212.0,221.6,226.25,237.0,245.0,267.5,317.5,350.0,351.25,372.5,390.5,385.0,398.75,413.75,425.0,447.5,453.75,462.5,467.0,457.0
Ivanhoe East,190.0,208.75,212.0,221.6,226.25,237.0,245.0,267.5,317.5,350.0,351.25,372.5,390.5,385.0,398.75,413.75,425.0,447.5,453.75,462.5,467.0,457.0
Mill Park,181.25,187.5,196.66666666666666,203.0,211.25,218.75,223.75,244.5,275.0,302.5,325.0,331.25,331.25,330.0,330.0,335.0,345.0,355.0,367.5,371.25,378.75,380.0
Epping,181.25,187.5,196.66666666666666,203.0,211.25,218.75,223.75,244.5,275.0,302.5,325.0,331.25,331.25,330.0,330.0,335.0,345.0,355.0,367.5,371.25,378.75,380.0
Northcote,195.0,211.25,226.66666666666666,226.0,240.75,248.75,263.75,293.75,345.0,376.25,395.0,410.0,430.0,436.25,447.5,450.0,447.5,466.25,493.75,500.0,500.0,493.75
Preston,170.0,177.5,185.0,192.0,200.0,208.75,222.5,248.75,286.25,322.5,337.5,350.0,352.0,355.0,363.75,372.5,382.5,396.25,415.75,425.0,422.5,407.5
Reservoir,162.5,167.5,173.33333333333334,180.0,186.25,188.75,199.0,218.75,255.0,282.5,297.5,311.25,312.5,320.0,322.25,330.0,341.25,352.5,367.5,380.0,382.5,380.0
Thomastown,160.0,165.0,172.66666666666666,179.0,184.5,190.0,196.25,212.5,242.5,275.0,295.0,300.0,304.75,307.5,315.0,320.0,328.75,342.5,355.0,360.0,362.5,360.0
Lalor,160.0,165.0,172.66666666666666,179.0,184.5,190.0,196.25,212.5,242.5,275.0,295.0,300.0,304.75,307.5,315.0,320.0,328.75,342.5,355.0,360.0,362.5,360.0
Thornbury,155.0,166.25,171.66666666666666,179.0,182.5,186.25,198.75,220.25,265.0,293.75,302.75,305.0,335.0,330.0,342.0,352.5,363.75,383.75,413.75,421.25,422.5,402.5
Whittlesea,156.25,167.0,178.33333333333334,197.0,207.5,214.5,237.5,251.25,289.25,319.5,332.5,350.0,335.0,330.0,330.0,338.75,345.0,355.0,372.5,382.5,390.0,393.0
Bayswater,161.25,170.0,173.33333333333334,179.0,183.75,193.75,201.25,223.25,252.5,278.75,295.75,316.5,320.0,326.25,337.5,346.25,350.0,363.25,378.75,388.75,390.0,400.0
Boronia,167.5,178.75,181.66666666666666,188.0,193.75,206.25,217.5,237.5,262.5,287.5,310.25,322.5,327.5,332.5,340.0,350.0,352.5,365.0,383.75,390.0,392.5,397.5
Croydon,170.25,180.0,186.66666666666666,192.0,200.0,206.25,220.0,237.0,266.25,295.0,311.25,332.5,340.0,341.25,350.5,361.25,373.75,383.75,398.75,407.5,415.0,428.75
